,TopicNumber,ActionID
0,0,[26]
1,1,[8]
2,2,"[15, 55]"
3,3,"[4, 30, 56]"
4,4,"[57, 58]"
5,5,[59]
6,6,[13]
7,7,[2]
8,8,[7]
9,9,[60]
10,10,[61]
11,11,"[0, 1, 2, 4, 29]"
12,12,[28]
13,13,"[3, 7]"
14,14,[7]
15,15,[13]
16,16,"[3, 8]"
17,17,"[54, 64]"
18,18,[11]
19,19,[7]
20,20,"[3, 23, 67]"
21,22,"[0, 1, 3, 4]"
22,23,"[21, 22]"
23,24,[14]
24,25,[70]
25,26,"[3, 16, 71]"
26,27,[73]
27,28,[18]
28,29,[19]
29,30,[74]
30,31,[75]
31,32,[66]
32,33,[53]
33,34,[2]
34,35,"[4, 12]"
35,36,[19]
36,37,[27]
37,38,[24]
38,39,"[0, 1, 2]"
39,40,[0]
40,41,[33]
41,43,"[0, 1]"
42,44,[7]
43,46,[11]
44,47,[35]
45,48,"[10, 36]"
46,49,[7]
47,51,[17]
48,52,[17]
49,53,"[0, 1, 5, 7]"
50,55,[44]
51,56,"[0, 1, 2, 5]"
52,57,"[1, 2, 5, 6]"
53,59,"[1, 5, 6]"
54,61,"[25, 50]"
55,62,[51]
56,63,"[3, 42]"
57,64,"[0, 1, 5, 7]"
58,65,"[21, 22]"
59,66,[3]
60,67,[28]
61,68,"[1, 3, 5]"
62,69,"[3, 40, 46]"
63,70,"[0, 31]"
64,71,[2]
65,72,"[0, 39]"
66,73,[38]
67,74,[1]
68,75,[15]
69,76,"[3, 37]"
70,77,[0]
71,78,[7]
72,79,"[0, 32]"
73,80,[16]
74,81,[11]
75,82,[3]
76,83,[77]
